CANSIM_label,new_label,primary
Total coal,Coal,TRUE
Coke,Coal products,FALSE
Coke oven gas,Coal products,FALSE
Crude oil,Crude oil,TRUE
Natural gas,Natural gas,TRUE
Gas plant natural gas liquids (NGL's),NGLs,TRUE
"Primary electricity, hydro and nuclear","Primary electricity, hydro and nuclear",TRUE
Total refined petroleum products,Refined petroleum products,FALSE
"Secondary electricity, thermal","Secondary electricity, thermal",FALSE
